Fold,Algorithm,Classifier,TransferFunction,BestFitness,Accuracy,Sensitivity,Recall,Specificity,Precision,F1,MCC,ROC_AUC
4,bLRRIME-KNN-s3,knn,s3,0.157936508,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.857142857
5,bLRRIME-KNN-s3,knn,s3,0.155411255,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.846938776
6,bLRRIME-KNN-s3,knn,s3,0.230844156,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.826530612
7,bLRRIME-KNN-s3,knn,s3,0.229834055,0.785714286,0.714285714,0.714285714,0.857142857,0.833333333,0.769230769,0.577350269,0.836734694
8,bLRRIME-KNN-s3,knn,s3,0.157431457,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.785714286
9,bLRRIME-KNN-s3,knn,s3,0.228318903,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.744897959
10,bLRRIME-KNN-s3,knn,s3,0.089574315,0.928571429,1,1,0.833333333,0.888888889,0.941176471,0.860662966,0.96875
1,bLRRIME-KNN-s4,knn,s4,0.086060606,0.933333333,1,1,0.857142857,0.888888889,0.941176471,0.872871561,0.955357143
2,bLRRIME-KNN-s4,knn,s4,0.089574315,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.908163265
3,bLRRIME-KNN-s4,knn,s4,0.087049062,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.908163265
4,bLRRIME-KNN-s4,knn,s4,0.092604618,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.979591837
5,bLRRIME-KNN-s4,knn,s4,0.16046176,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.857142857
6,bLRRIME-KNN-s4,knn,s4,0.291630592,0.714285714,0.857142857,0.857142857,0.571428571,0.666666667,0.75,0.447213595,0.653061224
7,bLRRIME-KNN-s4,knn,s4,0.2252886,0.785714286,0.714285714,0.714285714,0.857142857,0.833333333,0.769230769,0.577350269,0.857142857
8,bLRRIME-KNN-s4,knn,s4,0.158441558,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.795918367
9,bLRRIME-KNN-s4,knn,s4,0.231854257,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.714285714
10,bLRRIME-KNN-s4,knn,s4,0.089574315,0.928571429,1,1,0.833333333,0.888888889,0.941176471,0.860662966,0.958333333
1,bLRRIME-KNN-v1,knn,v1,0.001515152,1,1,1,1,1,1,1,1
2,bLRRIME-KNN-v1,knn,v1,0.001515152,1,1,1,1,1,1,1,1
3,bLRRIME-KNN-v1,knn,v1,0.068362193,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.948979592
4,bLRRIME-KNN-v1,knn,v1,0.069372294,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.918367347
5,bLRRIME-KNN-v1,knn,v1,0.069877345,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.867346939
6,bLRRIME-KNN-v1,knn,v1,0.136219336,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.806122449
7,bLRRIME-KNN-v1,knn,v1,0.069877345,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.948979592
8,bLRRIME-KNN-v1,knn,v1,0.137734488,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.836734694
9,bLRRIME-KNN-v1,knn,v1,0.20458153,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.734693878
10,bLRRIME-KNN-v1,knn,v1,0.001515152,1,1,1,1,1,1,1,1
1,bLRRIME-KNN-v2,knn,v2,0.001515152,1,1,1,1,1,1,1,1
2,bLRRIME-KNN-v2,knn,v2,0.068362193,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
3,bLRRIME-KNN-v2,knn,v2,0.001515152,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-v2,knn,v2,0.069372294,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.989795918
5,bLRRIME-KNN-v2,knn,v2,0.002525253,1,1,1,1,1,1,1,1
6,bLRRIME-KNN-v2,knn,v2,0.136219336,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.806122449
7,bLRRIME-KNN-v2,knn,v2,0.068867244,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.959183673
8,bLRRIME-KNN-v2,knn,v2,0.070887446,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.979591837
9,bLRRIME-KNN-v2,knn,v2,0.20508658,0.785714286,0.714285714,0.714285714,0.857142857,0.833333333,0.769230769,0.577350269,0.724489796
10,bLRRIME-KNN-v2,knn,v2,0.001515152,1,1,1,1,1,1,1,1
1,bLRRIME-KNN-v3,knn,v3,0.002020202,1,1,1,1,1,1,1,1
2,bLRRIME-KNN-v3,knn,v3,0.001515152,1,1,1,1,1,1,1,1
3,bLRRIME-KNN-v3,knn,v3,0.002020202,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-v3,knn,v3,0.001515152,1,1,1,1,1,1,1,1
5,bLRRIME-KNN-v3,knn,v3,0.068867244,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.897959184
6,bLRRIME-KNN-v3,knn,v3,0.136219336,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.806122449
7,bLRRIME-KNN-v3,knn,v3,0.069372294,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.897959184
8,bLRRIME-KNN-v3,knn,v3,0.136219336,0.857142857,1,1,0.714285714,0.777777778,0.875,0.745355992,0.806122449
9,bLRRIME-KNN-v3,knn,v3,0.20508658,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.704081633
10,bLRRIME-KNN-v3,knn,v3,0.001515152,1,1,1,1,1,1,1,1
1,bLRRIME-KNN-v4,knn,v4,0.064343434,0.933333333,0.875,0.875,1,1,0.933333333,0.875,0.946428571
2,bLRRIME-KNN-v4,knn,v4,0.068867244,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.989795918
3,bLRRIME-KNN-v4,knn,v4,0.001515152,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-v4,knn,v4,0.002020202,1,1,1,1,1,1,1,1
5,bLRRIME-KNN-v4,knn,v4,0.068867244,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.867346939
6,bLRRIME-KNN-v4,knn,v4,0.137229437,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.795918367
7,bLRRIME-KNN-v4,knn,v4,0.069877345,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.948979592
8,bLRRIME-KNN-v4,knn,v4,0.070382395,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.928571429
9,bLRRIME-KNN-v4,knn,v4,0.20508658,0.785714286,1,1,0.571428571,0.7,0.823529412,0.632455532,0.785714286
10,bLRRIME-KNN-v4,knn,v4,0.001515152,1,1,1,1,1,1,1,1
1,bLRRIME-KNN-s1,knn,s1,0.274040404,0.733333333,0.75,0.75,0.714285714,0.75,0.75,0.464285714,0.758928571
2,bLRRIME-KNN-s1,knn,s1,0.089069264,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.897959184
3,bLRRIME-KNN-s1,knn,s1,0.088059163,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.979591837
4,bLRRIME-KNN-s1,knn,s1,0.223773449,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.816326531
5,bLRRIME-KNN-s1,knn,s1,0.161976912,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.867346939
6,bLRRIME-KNN-s1,knn,s1,0.094119769,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.979591837
7,bLRRIME-KNN-s1,knn,s1,0.168037518,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.826530612
8,bLRRIME-KNN-s1,knn,s1,0.093614719,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.969387755
9,bLRRIME-KNN-s1,knn,s1,0.22478355,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.765306122
10,bLRRIME-KNN-s1,knn,s1,0.292135642,0.714285714,0.75,0.75,0.666666667,0.75,0.75,0.416666667,0.791666667
1,bLRRIME-KNN-s2,knn,s2,0.21979798,0.8,0.875,0.875,0.714285714,0.777777778,0.823529412,0.600099198,0.776785714
2,bLRRIME-KNN-s2,knn,s2,0.024242424,1,1,1,1,1,1,1,1
3,bLRRIME-KNN-s2,knn,s2,0.088059163,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
4,bLRRIME-KNN-s2,knn,s2,0.16046176,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.836734694
5,bLRRIME-KNN-s2,knn,s2,0.157936508,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.816326531
6,bLRRIME-KNN-s2,knn,s2,0.091594517,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.979591837
7,bLRRIME-KNN-s2,knn,s2,0.163997114,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.775510204
8,bLRRIME-KNN-s2,knn,s2,0.157431457,0.857142857,1,1,0.714285714,0.777777778,0.875,0.745355992,0.93877551
9,bLRRIME-KNN-s2,knn,s2,0.225793651,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.785714286
10,bLRRIME-KNN-s2,knn,s2,0.229834055,0.785714286,0.875,0.875,0.666666667,0.777777778,0.823529412,0.559430928,0.760416667
1,bLRRIME-KNN-s3,knn,s3,0.272525253,0.733333333,0.75,0.75,0.714285714,0.75,0.75,0.464285714,0.714285714
2,bLRRIME-KNN-s3,knn,s3,0.02979798,1,1,1,1,1,1,1,1
3,bLRRIME-KNN-s3,knn,s3,0.024747475,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-s3,knn,s3,0.2252886,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.836734694
5,bLRRIME-KNN-s3,knn,s3,0.156926407,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.836734694
6,bLRRIME-KNN-s3,knn,s3,0.086038961,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.969387755
7,bLRRIME-KNN-s3,knn,s3,0.157936508,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.785714286
8,bLRRIME-KNN-s3,knn,s3,0.093614719,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.969387755
9,bLRRIME-KNN-s3,knn,s3,0.223268398,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.775510204
10,bLRRIME-KNN-s3,knn,s3,0.230844156,0.785714286,0.875,0.875,0.666666667,0.777777778,0.823529412,0.559430928,0.770833333
1,bLRRIME-KNN-s4,knn,s4,0.272020202,0.733333333,0.75,0.75,0.714285714,0.75,0.75,0.464285714,0.732142857
2,bLRRIME-KNN-s4,knn,s4,0.089574315,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.948979592
3,bLRRIME-KNN-s4,knn,s4,0.023737374,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-s4,knn,s4,0.162987013,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.87755102
5,bLRRIME-KNN-s4,knn,s4,0.156421356,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.826530612
6,bLRRIME-KNN-s4,knn,s4,0.088059163,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.969387755
7,bLRRIME-KNN-s4,knn,s4,0.154906205,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.785714286
8,bLRRIME-KNN-s4,knn,s4,0.091594517,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.969387755
9,bLRRIME-KNN-s4,knn,s4,0.223268398,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.744897959
10,bLRRIME-KNN-s4,knn,s4,0.289105339,0.714285714,0.75,0.75,0.666666667,0.75,0.75,0.416666667,0.708333333
1,bLRRIME-KNN-v1,knn,v1,0.127676768,0.866666667,0.875,0.875,0.857142857,0.875,0.875,0.732142857,0.892857143
2,bLRRIME-KNN-v1,knn,v1,0.002525253,1,1,1,1,1,1,1,1
3,bLRRIME-KNN-v1,knn,v1,0.002525253,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-v1,knn,v1,0.069877345,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.93877551
5,bLRRIME-KNN-v1,knn,v1,0.069877345,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.87755102
6,bLRRIME-KNN-v1,knn,v1,0.001515152,1,1,1,1,1,1,1,1
7,bLRRIME-KNN-v1,knn,v1,0.069372294,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.87755102
8,bLRRIME-KNN-v1,knn,v1,0.001010101,1,1,1,1,1,1,1,1
9,bLRRIME-KNN-v1,knn,v1,0.069372294,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.969387755
10,bLRRIME-KNN-v1,knn,v1,0.069372294,0.928571429,1,1,0.833333333,0.888888889,0.941176471,0.860662966,0.84375
1,bLRRIME-KNN-v2,knn,v2,0.064343434,0.933333333,0.875,0.875,1,1,0.933333333,0.875,0.892857143
2,bLRRIME-KNN-v2,knn,v2,0.069372294,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.948979592
3,bLRRIME-KNN-v2,knn,v2,0.002525253,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-v2,knn,v2,0.000505051,1,1,1,1,1,1,1,1
5,bLRRIME-KNN-v2,knn,v2,0.069372294,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.948979592
6,bLRRIME-KNN-v2,knn,v2,0.002020202,1,1,1,1,1,1,1,1
7,bLRRIME-KNN-v2,knn,v2,0.068867244,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.969387755
8,bLRRIME-KNN-v2,knn,v2,0.001515152,1,1,1,1,1,1,1,1
9,bLRRIME-KNN-v2,knn,v2,0.069372294,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.969387755
10,bLRRIME-KNN-v2,knn,v2,0.136724387,0.857142857,1,1,0.666666667,0.8,0.888888889,0.730296743,0.84375
1,bLRRIME-KNN-v3,knn,v3,0.127676768,0.866666667,0.875,0.875,0.857142857,0.875,0.875,0.732142857,0.857142857
2,bLRRIME-KNN-v3,knn,v3,0.068867244,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
3,bLRRIME-KNN-v3,knn,v3,0.001010101,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-v3,knn,v3,0.069372294,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.918367347
5,bLRRIME-KNN-v3,knn,v3,0.068867244,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.867346939
6,bLRRIME-KNN-v3,knn,v3,0.068362193,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.948979592
7,bLRRIME-KNN-v3,knn,v3,0.068867244,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.948979592
8,bLRRIME-KNN-v3,knn,v3,0.001010101,1,1,1,1,1,1,1,1
9,bLRRIME-KNN-v3,knn,v3,0.068867244,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.867346939
10,bLRRIME-KNN-v3,knn,v3,0.204076479,0.785714286,0.875,0.875,0.666666667,0.777777778,0.823529412,0.559430928,0.739583333
1,bLRRIME-KNN-v4,knn,v4,0.191010101,0.8,0.875,0.875,0.714285714,0.777777778,0.823529412,0.600099198,0.723214286
2,bLRRIME-KNN-v4,knn,v4,0.068867244,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
3,bLRRIME-KNN-v4,knn,v4,0.002020202,1,1,1,1,1,1,1,1
4,bLRRIME-KNN-v4,knn,v4,0.068867244,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.908163265
5,bLRRIME-KNN-v4,knn,v4,0.069372294,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.908163265
6,bLRRIME-KNN-v4,knn,v4,0.001515152,1,1,1,1,1,1,1,1
7,bLRRIME-KNN-v4,knn,v4,0.136219336,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.918367347
8,bLRRIME-KNN-v4,knn,v4,0.001010101,1,1,1,1,1,1,1,1
9,bLRRIME-KNN-v4,knn,v4,0.136219336,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.897959184
10,bLRRIME-KNN-v4,knn,v4,0.069372294,0.928571429,1,1,0.833333333,0.888888889,0.941176471,0.860662966,0.958333333
1,bLRRIME-KNN-s1,knn,s1,0.145858586,0.866666667,0.875,0.875,0.857142857,0.875,0.875,0.732142857,0.821428571
2,bLRRIME-KNN-s1,knn,s1,0.090079365,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.948979592
3,bLRRIME-KNN-s1,knn,s1,0.158441558,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.806122449
4,bLRRIME-KNN-s1,knn,s1,0.090079365,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.908163265
5,bLRRIME-KNN-s1,knn,s1,0.227308802,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.795918367
6,bLRRIME-KNN-s1,knn,s1,0.087554113,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
7,bLRRIME-KNN-s1,knn,s1,0.099170274,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.959183673
8,bLRRIME-KNN-s1,knn,s1,0.089069264,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.908163265
9,bLRRIME-KNN-s1,knn,s1,0.297186147,0.714285714,0.857142857,0.857142857,0.571428571,0.666666667,0.75,0.447213595,0.734693878
10,bLRRIME-KNN-s1,knn,s1,0.2252886,0.785714286,0.875,0.875,0.666666667,0.777777778,0.823529412,0.559430928,0.729166667
1,bLRRIME-KNN-s2,knn,s2,0.151919192,0.866666667,0.875,0.875,0.857142857,0.875,0.875,0.732142857,0.839285714
2,bLRRIME-KNN-s2,knn,s2,0.091594517,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.897959184
3,bLRRIME-KNN-s2,knn,s2,0.158441558,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.928571429
4,bLRRIME-KNN-s2,knn,s2,0.089574315,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.918367347
5,bLRRIME-KNN-s2,knn,s2,0.226803752,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.816326531
6,bLRRIME-KNN-s2,knn,s2,0.088059163,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.918367347
7,bLRRIME-KNN-s2,knn,s2,0.092604618,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.959183673
8,bLRRIME-KNN-s2,knn,s2,0.089574315,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.928571429
9,bLRRIME-KNN-s2,knn,s2,0.364033189,0.642857143,0.857142857,0.857142857,0.428571429,0.6,0.705882353,0.316227766,0.806122449
10,bLRRIME-KNN-s2,knn,s2,0.227813853,0.785714286,0.875,0.875,0.666666667,0.777777778,0.823529412,0.559430928,0.71875
1,bLRRIME-KNN-s3,knn,s3,0.147373737,0.866666667,0.875,0.875,0.857142857,0.875,0.875,0.732142857,0.839285714
2,bLRRIME-KNN-s3,knn,s3,0.089069264,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
3,bLRRIME-KNN-s3,knn,s3,0.090584416,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.928571429
4,bLRRIME-KNN-s3,knn,s3,0.089574315,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.918367347
5,bLRRIME-KNN-s3,knn,s3,0.226298701,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.795918367
6,bLRRIME-KNN-s3,knn,s3,0.088564214,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
7,bLRRIME-KNN-s3,knn,s3,0.092604618,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.979591837
8,bLRRIME-KNN-s3,knn,s3,0.089574315,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.928571429
9,bLRRIME-KNN-s3,knn,s3,0.357972583,0.642857143,0.857142857,0.857142857,0.428571429,0.6,0.705882353,0.316227766,0.775510204
10,bLRRIME-KNN-s3,knn,s3,0.161471861,0.857142857,1,1,0.666666667,0.8,0.888888889,0.730296743,0.770833333
1,bLRRIME-KNN-s4,knn,s4,0.146363636,0.866666667,0.875,0.875,0.857142857,0.875,0.875,0.732142857,0.875
2,bLRRIME-KNN-s4,knn,s4,0.090079365,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.959183673
3,bLRRIME-KNN-s4,knn,s4,0.156926407,0.857142857,0.714285714,0.714285714,1,1,0.833333333,0.745355992,0.897959184
4,bLRRIME-KNN-s4,knn,s4,0.088564214,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.918367347
5,bLRRIME-KNN-s4,knn,s4,0.22478355,0.785714286,0.857142857,0.857142857,0.714285714,0.75,0.8,0.577350269,0.785714286
6,bLRRIME-KNN-s4,knn,s4,0.088059163,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.959183673
7,bLRRIME-KNN-s4,knn,s4,0.090584416,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.959183673
8,bLRRIME-KNN-s4,knn,s4,0.089069264,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.918367347
9,bLRRIME-KNN-s4,knn,s4,0.358477633,0.642857143,0.857142857,0.857142857,0.428571429,0.6,0.705882353,0.316227766,0.734693878
10,bLRRIME-KNN-s4,knn,s4,0.224278499,0.785714286,0.875,0.875,0.666666667,0.777777778,0.823529412,0.559430928,0.802083333
1,bLRRIME-KNN-v1,knn,v1,0.127676768,0.866666667,0.875,0.875,0.857142857,0.875,0.875,0.732142857,0.910714286
2,bLRRIME-KNN-v1,knn,v1,0.001010101,1,1,1,1,1,1,1,1
3,bLRRIME-KNN-v1,knn,v1,0.068867244,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.959183673
4,bLRRIME-KNN-v1,knn,v1,0.002020202,1,1,1,1,1,1,1,1
5,bLRRIME-KNN-v1,knn,v1,0.137229437,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.714285714,0.93877551
6,bLRRIME-KNN-v1,knn,v1,0.068867244,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.979591837
7,bLRRIME-KNN-v1,knn,v1,0.070887446,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.908163265
8,bLRRIME-KNN-v1,knn,v1,0.003030303,1,1,1,1,1,1,1,1
9,bLRRIME-KNN-v1,knn,v1,0.069877345,0.928571429,1,1,0.857142857,0.875,0.933333333,0.866025404,0.959183673
10,bLRRIME-KNN-v1,knn,v1,0.068867244,0.928571429,1,1,0.833333333,0.888888889,0.941176471,0.860662966,0.9375
1,bLRRIME-KNN-v2,knn,v2,0.064343434,0.933333333,1,1,0.857142857,0.888888889,0.941176471,0.872871561,0.883928571
2,bLRRIME-KNN-v2,knn,v2,0.001010101,1,1,1,1,1,1,1,1
3,bLRRIME-KNN-v2,knn,v2,0.070382395,0.928571429,0.857142857,0.857142857,1,1,0.923076923,0.866025404,0.989795918
4,bLRRIME-KNN-v2,knn,v2,0.002020202,1,1,1,1,1,1,1,1
